rank,name,country,region,hospital_type,total_score,percentile,certification_count
1,Johns Hopkins Hospital,United States,North America,Academic Medical Center,65,100.00,4
2,Accupath Diagnostic Laboratories; Inc.,United States,Americas,Medical Laboratory,65,99.99,2
3,Almac Diagnostic Services,United Kingdom,Europe,Medical Laboratory,65,99.98,2
4,Dianon Systems; Inc. and Esoterix Genetic Laboratories; LLC,United States,Americas,Medical Laboratory,65,99.97,2
5,King Abdulaziz Medical City,Saudi Arabia,Middle East,Medical City,65,99.96,2
6,Labcorp Central Laboratory Services LP,United States,Americas,Medical Laboratory,65,99.95,2
7,Livasa Hospital (A Unit of Ivy Health and Life Sciences Private Limited) (Earlier Certificate issued in the name of Ivy Hospital Mohali (A Unit of Ivy Health & Life Sciences Pvt. Ltd.),India,Asia-Pacific,General Hospital,65,99.94,2
8,N Z Health & Medicare Center (Zeel Multi Speciality Hospital); Sagwara,India,Asia-Pacific,General Hospital,65,99.93,2
9,National University Hospital Singapore,Singapore,Asia-Pacific,Academic Medical Center,65,99.92,2
10,Aarupadai Veedu Medical College & Hospital,India,Unknown,Teaching Hospital,65,99.91,1
11,Ekta Hospital And Pathology Center,India,Unknown,General Hospital,65,99.90,1
12,Jcb Hospitals,India,Unknown,General Hospital,65,99.89,1
13,Alverno Laboratories,United States,Americas,Medical Laboratory,41.39999999999999,99.88,1
14,BioReference Health; LLC,United States,Americas,Medical Laboratory,41.39999999999999,99.87,1
15,Centogene GmbH,Germany,Europe,Medical Laboratory,41.39999999999999,99.86,1
16,Cleveland HeartLab,United States,Americas,Medical Laboratory,41.39999999999999,99.85,1
17,CooperSurgical; Inc.,United States,Americas,Medical Laboratory,41.39999999999999,99.83,1
18,Crown BioScience GmbH,Germany,Europe,Medical Laboratory,41.39999999999999,99.82,1
19,Cytespace Africa Pty. Ltd.,South Africa,Africa,Medical Laboratory,41.39999999999999,99.81,1
20,Esoterix; Inc Endocrinology Laboratory,United States,Americas,Medical Laboratory,41.39999999999999,99.80,1
21,Fleury S/A Laboratory,Brazil,Americas,Medical Laboratory,41.39999999999999,99.79,1
22,GC LabTech; Inc.,United States,Americas,Medical Laboratory,41.39999999999999,99.78,1
23,GRAIL; Inc.,United States,Americas,Medical Laboratory,41.39999999999999,99.77,1
24,Guardant Health; Inc,United States,Americas,Medical Laboratory,41.39999999999999,99.76,1
25,Inivata Ltd. Clinical Laboratory NeoGenomics,United Kingdom,Europe,Medical Laboratory,41.39999999999999,99.75,1
26,Labcorp Development (Asia) Pte.Ltd.,Singapore,Asia-Pacific,Medical Laboratory,41.39999999999999,99.74,1
27,Labcorp Pharmaceutical Research and Development (Shanghai) Co.; Ltd.,China,Asia-Pacific,Medical Laboratory,41.39999999999999,99.73,1
28,Laboratory Corporation of America - Houston,United States,Americas,Medical Laboratory,41.39999999999999,99.72,1
29,Laboratory Corporation of America - Tampa; Florida,United States,Americas,Medical Laboratory,41.39999999999999,99.71,1
30,Laboratory Corporation of America-Tennessee,United States,Americas,Medical Laboratory,41.39999999999999,99.70,1
31,Institute of liver & Biliary Sciences; Vasant Kunj,India,Asia-Pacific,Teaching Hospital,40,99.69,2
32,Al Zahra Hospital Dubai,UAE,Middle East,Private Hospital,40,99.68,1
33,American Hospital Dubai,UAE,Middle East,Private Hospital,40,99.67,1
34,American University of Beirut Medical Center,Lebanon,Middle East,Academic Medical Center,40,99.66,1
35,Anadolu Medical Center,Turkey,Europe,Private Hospital,40,99.65,1
36,Apollo Hospitals Chennai,India,Asia-Pacific,Multi-specialty Hospital,40,99.64,1
37,Apple Indore Hospital and Research Center (A Unit of Friends Unity Hospital and Research Centre Private Limited),India,Asia-Pacific,General Hospital,40,99.63,1
38,Asan Medical Center,South Korea,Asia-Pacific,Academic Medical Center,40,99.62,1
39,Bumrungrad International Hospital,Thailand,Asia-Pacific,International Hospital,40,99.61,1
40,Cleveland Clinic Abu Dhabi,UAE,Middle East,Academic Medical Center,40,99.60,1
41,Fundación Cardioinfantil,Colombia,Americas,Cardiac Hospital,40,99.59,1
42,Gleneagles Hospital Singapore,Singapore,Asia-Pacific,Private Hospital,40,99.58,1
43,Hamad Medical Corporation,Qatar,Middle East,Public Hospital System,40,99.57,1
44,Hospital Alemão Oswaldo Cruz,Brazil,Americas,Private Hospital,40,99.56,1
45,Hospital Británico de Buenos Aires,Argentina,Americas,Private Hospital,40,99.55,1
46,Hospital Israelita Albert Einstein,Brazil,Americas,Private Hospital,40,99.54,1
47,Hospital Italiano de Buenos Aires,Argentina,Americas,Private Hospital,40,99.53,1
48,Hospital Pablo Tobón Uribe,Colombia,Americas,General Hospital,40,99.52,1
49,Hospital Sírio-Libanês,Brazil,Americas,Private Hospital,40,99.50,1
50,King Faisal Specialist Hospital,Saudi Arabia,Middle East,Specialty Hospital,40,99.49,1
51,King Hussein Cancer Center,Jordan,Middle East,Cancer Center,40,99.48,1
52,Manipal Hospital Bangalore,India,Asia-Pacific,Multi-specialty Hospital,40,99.47,1
53,Max Super Speciality Hospital Saket,India,Asia-Pacific,Multi-specialty Hospital,40,99.46,1
54,Medanta The Medicity,India,Asia-Pacific,Multi-specialty Hospital,40,99.45,1
55,Medicana International Istanbul,Turkey,Europe,Private Hospital,40,99.44,1
56,Mediclinic City Hospital,UAE,Middle East,Private Hospital,40,99.43,1
57,Mount Elizabeth Hospital,Singapore,Asia-Pacific,Private Hospital,40,99.42,1
58,Pantai Hospital Kuala Lumpur,Malaysia,Asia-Pacific,Private Hospital,40,99.41,1
59,Prince Court Medical Centre,Malaysia,Asia-Pacific,Private Hospital,40,99.40,1
60,Raffles Hospital,Singapore,Asia-Pacific,Private Hospital,40,99.39,1
61,Samitivej Hospital,Thailand,Asia-Pacific,Private Hospital,40,99.38,1
62,Samsung Medical Center,South Korea,Asia-Pacific,Academic Medical Center,40,99.37,1
63,Seoul National University Hospital,South Korea,Asia-Pacific,Academic Medical Center,40,99.36,1
64,Sidra Medicine,Qatar,Middle East,Women and Children Hospital,40,99.35,1
65,Singapore General Hospital,Singapore,Asia-Pacific,Academic Medical Center,40,99.34,1
66,University Hospital Zurich,Switzerland,Europe,Academic Medical Center,40,99.33,1
67,Lakshmi Hospital,India,Asia-Pacific,General Hospital,33.39999999999999,99.32,2
68,A.J. Hospital & Research Centre;,India,Asia-Pacific,General Hospital,33.39999999999999,99.31,1
69,Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.30,1
70,Advanced Superspeciality Hospital (A Unit of Advanced Healthcare and Research Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.29,1
71,Ahmedabad Institute Of Medical Services (AIMS),India,Asia-Pacific,Teaching Hospital,33.39999999999999,99.28,1
72,AIG Hospitals ( A Unit of Asian Institute Of Gastroenterology Private Limited),India,Asia-Pacific,Teaching Hospital,33.39999999999999,99.27,1
73,Amandeep Hospitals Pvt. Ltd. - (Earlier Certificate issued in the Name of Amandeep Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,99.26,1
74,Amara Hospital (A Unit of G2 Health Care Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.25,1
75,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),India,Asia-Pacific,Cancer Specialty,33.39999999999999,99.24,1
76,AMRI Hospital; Mukundapur,India,Asia-Pacific,General Hospital,33.39999999999999,99.23,1
77,Anand Heart & Multispeciality Hospital (A Unit of Prem Malhotra Heathcare Pvt. Ltd.),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,99.22,1
78,Anand Orthopaedic Centre; Thanesar,India,Asia-Pacific,Orthopedic Specialty,33.39999999999999,99.21,1
79,Andhra Hospitals; Suryaraopet,India,Asia-Pacific,General Hospital,33.39999999999999,99.20,1
80,Andromeda Cancer Hospital (A Unit of Andromeda Hospitals and Healthcare Private Limited),India,Asia-Pacific,Cancer Specialty,33.39999999999999,99.18,1
81,Apex Hospitals; Mulund,India,Asia-Pacific,General Hospital,33.39999999999999,99.17,1
82,Apex Skyline Hospital (A Unit of Apex Hospitals Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.16,1
83,Apex Super Speciality Hospital & IVF Centre ( A Unit of Goyal Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,33.39999999999999,99.15,1
84,Apollo Adlux Hospital (A Unit Of Adlux Medicity & Convention Centre Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.14,1
85,Apollo CVHF Heart Institute (A Unit Of Apollo CVHF Ltd.),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,99.13,1
86,Apollo Excelcare Hospital (A Unit of Asclepius Hospitals & Health Care Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,99.12,1
87,Apollo Hospital Rourkela (Managing IPGI and SSH),India,Asia-Pacific,General Hospital,33.39999999999999,99.11,1
88,Apollo Hospitals; Hyderguda,India,Asia-Pacific,General Hospital,33.39999999999999,99.10,1
89,Apollo Hospitals; Seshadripuram,India,Asia-Pacific,General Hospital,33.39999999999999,99.09,1
90,Apollo Hospitals; Tondiarpet,India,Asia-Pacific,General Hospital,33.39999999999999,99.08,1
91,Apollo KH Hospital; Melvisharam,India,Asia-Pacific,General Hospital,33.39999999999999,99.07,1
92,Apollo Speciality Hospitals; Vanagaram,India,Asia-Pacific,General Hospital,33.39999999999999,99.06,1
93,Apple Maitreya Hospital; Surat,India,Asia-Pacific,General Hospital,33.39999999999999,99.05,1
94,Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.),India,Asia-Pacific,Teaching Hospital,33.39999999999999,99.04,1
95,Aryavart Hospital (A Unit of Shreya Medicare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,99.03,1
96,Ashwini Trauma Centre (Unit Of Cuttack Hospitals Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,99.02,1
97,Asian City Hospital (A Unit of Blue Sapphire Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,99.01,1
98,Aster Narayanadri Hospital (A Unit of Aster DM Healthcare Limited),India,Asia-Pacific,General Hospital,33.39999999999999,99.00,1
99,Atlanta Mediworld Multi Speciality Hospital & Research Centre (A Unit of RRM Services),India,Asia-Pacific,General Hospital,33.39999999999999,98.99,1
100,Atreya Hospital (A Unit Of DMRI),India,Asia-Pacific,General Hospital,33.39999999999999,98.98,1
101,Avee Hospital (A Unit of Kastura Medicos Ltd.) - (Earlier Certificate issued in the name of Aarogya Hospital); Vaishali,India,Asia-Pacific,General Hospital,33.39999999999999,98.97,1
102,B.R. Shastri Hospital ( A Unit of Aryabhatta Academic Society),India,Asia-Pacific,General Hospital,33.39999999999999,98.96,1
103,Baby Memorial Hospital Ltd. - (Earlier Certificate issued in the Name of Chazhikattu Hospital Private Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.95,1
104,Bansal Hospital (A Unit of Sagarshree Hospital and Research Institute Private Limited) - (Earlier Certificate issued in the name of Sagarshree Hospital & Research Institute Pvt. Ltd.).,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.94,1
105,BBR Super Speciality Hospital; Medchal,India,Asia-Pacific,General Hospital,33.39999999999999,98.93,1
106,Bharath Hospital and Institute of Oncology (A Unit of Sada Sharada Tumor and Research Institute),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.92,1
107,Bharati Vidyapeeth (Deemed To Be University) Medical College And Hospital Sangli,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.91,1
108,Bhartimaiya Memorial Foundation (Bharat Cancer Hospital & Nirali Memorial Radiation Centre),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.90,1
