overall_rank,name,country,region,hospital_type,total_score,percentile,certification_score,quality_initiatives_score,patient_feedback_score,certification_count
1,Apollo Hospitals,India,Asia-Pacific,General Hospital,55.0,100.0,55.0,0,0,2
2,Asansol Healthworld Pvt. Ltd.,India,Asia-Pacific,General Hospital,55.0,99.94,55.0,0,0,2
3,City Hospital,India,Asia-Pacific,General Hospital,55.0,99.87,55.0,0,0,2
4,Dhanalakshmi Srinivasan Medical College and Hospital,India,Asia-Pacific,Teaching Hospital,55.0,99.81,55.0,0,0,2
5,Fortis Hospital,India,Asia-Pacific,General Hospital,55.0,99.75,55.0,0,0,2
6,Fortis Memorial Research Institute,India,Asia-Pacific,Multi-specialty Hospital,55.0,99.69,55.0,0,0,2
7,"Institute of liver & Biliary Sciences, Vasant Kunj",India,Asia-Pacific,Teaching Hospital,55.0,99.62,55.0,0,0,2
8,Manipal Hospital,India,Asia-Pacific,General Hospital,55.0,99.56,55.0,0,0,2
9,Max Hospital,India,Asia-Pacific,General Hospital,55.0,99.5,55.0,0,0,2
10,Max Super Speciality Hospital,India,Asia-Pacific,General Hospital,55.0,99.43,55.0,0,0,2
11,Rashtrasant Tukdoji Cancer Hospital and Research Centre,India,Asia-Pacific,Cancer Specialty,55.0,99.37,55.0,0,0,2
12,SS Hospital,India,Asia-Pacific,General Hospital,55.0,99.31,55.0,0,0,2
13,Upasani Super Speciality Hospital Private Limited,India,Asia-Pacific,General Hospital,55.0,99.24,55.0,0,0,2
14,Vasantha Subramanian Hospitals India Pvt. Ltd.,India,Asia-Pacific,General Hospital,55.0,99.18,55.0,0,0,2
15,AcÄ±badem Healthcare Group,Turkey,Europe,Hospital Network,43.0,99.12,43.0,0,0,1
16,Al Zahra Hospital Dubai,UAE,Middle East,Private Hospital,43.0,99.06,43.0,0,0,1
17,American Hospital Dubai,UAE,Middle East,Private Hospital,43.0,98.99,43.0,0,0,1
18,American University of Beirut Medical Center,Lebanon,Middle East,Academic Medical Center,43.0,98.93,43.0,0,0,1
19,Anadolu Medical Center,Turkey,Europe,Private Hospital,43.0,98.87,43.0,0,0,1
20,Apollo Hospitals Chennai,India,Asia-Pacific,Multi-specialty Hospital,43.0,98.8,43.0,0,0,1
21,Asan Medical Center,South Korea,Asia-Pacific,Academic Medical Center,43.0,98.74,43.0,0,0,1
22,Bangkok Hospital,Thailand,Asia-Pacific,Private Hospital,43.0,98.68,43.0,0,0,1
23,Bumrungrad International Hospital,Thailand,Asia-Pacific,International Hospital,43.0,98.61,43.0,0,0,1
24,CARE Hospital,India,Asia-Pacific,General Hospital,43.0,98.55,43.0,0,0,1
25,Cleveland Clinic Abu Dhabi,UAE,Middle East,Academic Medical Center,43.0,98.49,43.0,0,0,1
26,FundaciÃ³n Cardioinfantil,Colombia,Americas,Cardiac Hospital,43.0,98.43,43.0,0,0,1
27,General Hospital,India,Asia-Pacific,General Hospital,43.0,98.36,43.0,0,0,1
28,Gleneagles Hospital Singapore,Singapore,Asia-Pacific,Private Hospital,43.0,98.3,43.0,0,0,1
29,Hamad Medical Corporation,Qatar,Middle East,Public Hospital System,43.0,98.24,43.0,0,0,1
30,Hirslanden Private Hospital Group,Switzerland,Europe,Private Hospital Network,43.0,98.17,43.0,0,0,1
31,Hospital AlemÃ£o Oswaldo Cruz,Brazil,Americas,Private Hospital,43.0,98.11,43.0,0,0,1
32,Hospital BritÃ¡nico de Buenos Aires,Argentina,Americas,Private Hospital,43.0,98.05,43.0,0,0,1
33,Hospital Israelita Albert Einstein,Brazil,Americas,Private Hospital,43.0,97.98,43.0,0,0,1
34,Hospital Italiano de Buenos Aires,Argentina,Americas,Private Hospital,43.0,97.92,43.0,0,0,1
35,Hospital Pablo TobÃ³n Uribe,Colombia,Americas,General Hospital,43.0,97.86,43.0,0,0,1
36,Hospital SÃ­rio-LibanÃªs,Brazil,Americas,Private Hospital,43.0,97.8,43.0,0,0,1
37,King Abdulaziz Medical City,Saudi Arabia,Middle East,Medical City,43.0,97.73,43.0,0,0,1
38,King Faisal Specialist Hospital,Saudi Arabia,Middle East,Specialty Hospital,43.0,97.67,43.0,0,0,1
39,King Hussein Cancer Center,Jordan,Middle East,Cancer Center,43.0,97.61,43.0,0,0,1
40,Manipal Hospital Bangalore,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.54,43.0,0,0,1
41,Max Super Speciality Hospital Saket,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.48,43.0,0,0,1
42,Medanta The Medicity,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.42,43.0,0,0,1
43,Medicana International Istanbul,Turkey,Europe,Private Hospital,43.0,97.36,43.0,0,0,1
44,Mediclinic City Hospital,UAE,Middle East,Private Hospital,43.0,97.29,43.0,0,0,1
45,Memorial Healthcare Group,Turkey,Europe,Hospital Network,43.0,97.23,43.0,0,0,1
46,Mount Elizabeth Hospital,Singapore,Asia-Pacific,Private Hospital,43.0,97.17,43.0,0,0,1
47,National University Hospital Singapore,Singapore,Asia-Pacific,Academic Medical Center,43.0,97.1,43.0,0,0,1
48,Pantai Hospital Kuala Lumpur,Malaysia,Asia-Pacific,Private Hospital,43.0,97.04,43.0,0,0,1
49,Prince Court Medical Centre,Malaysia,Asia-Pacific,Private Hospital,43.0,96.98,43.0,0,0,1
50,Raffles Hospital,Singapore,Asia-Pacific,Private Hospital,43.0,96.91,43.0,0,0,1
51,Samitivej Hospital,Thailand,Asia-Pacific,Private Hospital,43.0,96.85,43.0,0,0,1
52,Samsung Medical Center,South Korea,Asia-Pacific,Academic Medical Center,43.0,96.79,43.0,0,0,1
53,Seoul National University Hospital,South Korea,Asia-Pacific,Academic Medical Center,43.0,96.73,43.0,0,0,1
54,Sidra Medicine,Qatar,Middle East,Women and Children Hospital,43.0,96.66,43.0,0,0,1
55,Singapore General Hospital,Singapore,Asia-Pacific,Academic Medical Center,43.0,96.6,43.0,0,0,1
56,University Hospital Zurich,Switzerland,Europe,Academic Medical Center,43.0,96.54,43.0,0,0,1
57,Apple Indore Hospital and Research Center (A Unit of Friends Unity Hospital and Research Centre Private Limited),India,Asia-Pacific,General Hospital,22.0,96.47,22.0,0,0,1
58,"A.J. Hospital & Research Centre,",India,Asia-Pacific,General Hospital,16.8,96.41,16.8,0,0,1
59,Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.8,96.35,16.8,0,0,1
60,AAIHMS Hospital and Research Centre Limited,India,Asia-Pacific,General Hospital,16.8,96.28,16.8,0,0,1
61,Aakash Healthcare Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,96.22,16.8,0,0,1
62,Aarbee Institute Of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.8,96.16,16.8,0,0,1
63,Aarogyam Superspeciality Hospital and Research Center,India,Asia-Pacific,General Hospital,16.8,96.1,16.8,0,0,1
64,Aartham Multi Super Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.8,96.03,16.8,0,0,1
65,Aarvy Healthcare,India,Asia-Pacific,General Hospital,16.8,95.97,16.8,0,0,1
66,Aashka Hospitals Limited,India,Asia-Pacific,General Hospital,16.8,95.91,16.8,0,0,1
67,Aayush Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.8,95.84,16.8,0,0,1
68,Aayush NRI LEPL Health Care Private Limited,India,Asia-Pacific,General Hospital,16.8,95.78,16.8,0,0,1
69,Aayush NRI LEPL Healthcare Private Limited,India,Asia-Pacific,General Hospital,16.8,95.72,16.8,0,0,1
70,Abrol Medical Centre Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,95.65,16.8,0,0,1
71,Accord Hospital,India,Asia-Pacific,General Hospital,16.8,95.59,16.8,0,0,1
72,Accord Multispecialty Hospital,India,Asia-Pacific,Multi Specialty,16.8,95.53,16.8,0,0,1
73,Accord Superspeciality Hospital (A Unit of SCL Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.8,95.47,16.8,0,0,1
74,Acharya Vinoba Bhave Rural Hospital Sawangi Meghe Wardha,India,Asia-Pacific,General Hospital,16.8,95.4,16.8,0,0,1
75,ACI Cumballa Hill Multi Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.8,95.34,16.8,0,0,1
76,Adamt Kothiya Hospital and Research Centre,India,Asia-Pacific,General Hospital,16.8,95.28,16.8,0,0,1
77,Adesh Medical College And Hospital,India,Asia-Pacific,Teaching Hospital,16.8,95.21,16.8,0,0,1
78,Aditya Birla Memorial Hospital,India,Asia-Pacific,General Hospital,16.8,95.15,16.8,0,0,1
79,Advanced Superspeciality Hospital (A Unit of Advanced Healthcare and Research Private Limited),India,Asia-Pacific,General Hospital,16.8,95.09,16.8,0,0,1
80,Advanced Surat Trauma and Orthopaedic Surgery Hospital,India,Asia-Pacific,Orthopedic Specialty,16.8,95.03,16.8,0,0,1
81,Advanta Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,94.96,16.8,0,0,1
82,Agarwal Nursing Home,India,Asia-Pacific,General Hospital,16.8,94.9,16.8,0,0,1
83,Agrawal Hospital,India,Asia-Pacific,General Hospital,16.8,94.84,16.8,0,0,1
84,Ahmedabad Institute Of Medical Services (AIMS),India,Asia-Pacific,Teaching Hospital,16.8,94.77,16.8,0,0,1
85,AIG Hospitals ( A Unit of Asian Institute Of Gastroenterology Private Limited),India,Asia-Pacific,Teaching Hospital,16.8,94.71,16.8,0,0,1
86,Ajanta Hospital & IVF Centre Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,94.65,16.8,0,0,1
87,Akanksha Hospital- Unit of Sat Kaival Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,94.58,16.8,0,0,1
88,Akashdeep Hospital,India,Asia-Pacific,General Hospital,16.8,94.52,16.8,0,0,1
89,Alchemist Hospital Limited,India,Asia-Pacific,General Hospital,16.8,94.46,16.8,0,0,1
90,All is Well Hospital,India,Asia-Pacific,General Hospital,16.8,94.4,16.8,0,0,1
91,Alluri Sitarama Raju Academy of Medical Sciences,India,Asia-Pacific,General Hospital,16.8,94.33,16.8,0,0,1
92,Amala Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.8,94.27,16.8,0,0,1
